table_name,column_name,ordinal_position,data_type,numeric_precision,numeric_scale,character_maximum_length,is_nullable,is_pk,is_fk,fk_table_name,fk_column_name,description
tbl_abundance_elements,abundance_element_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_abundance_elements,record_type_id,2,integer,32,0,NULL,YES,NO,YES,tbl_record_types,record_type_id,"Specifies record types, thereby restricting the list of available elements based on the record type. This facilitates the use of the same term for different proxies, such as 'mni insects' versus 'mni seeds', without causing confusion."
tbl_abundance_elements,element_name,3,character varying,NULL,NULL,100,NO,NO,NO,NULL,NULL,"Abbreviated name for the element, such as 'mni', 'seed', or 'leaf'."
tbl_abundance_elements,element_description,4,text,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,"Detailed description of the element, such as 'minimum number of individuals', 'base of seed grain', or 'covering of leaf or flower bud'."
tbl_abundance_elements,date_updated,5,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_abundance_ident_levels,abundance_ident_level_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_abundance_ident_levels,abundance_id,2,bigint,64,0,NULL,NO,NO,YES,tbl_abundances,abundance_id,Specifies the related abundance record.
tbl_abundance_ident_levels,identification_level_id,3,integer,32,0,NULL,NO,NO,YES,tbl_identification_levels,identification_level_id,Specifies the specific identification level.
tbl_abundance_ident_levels,date_updated,4,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_abundance_modifications,abundance_modification_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_abundance_modifications,abundance_id,2,integer,32,0,NULL,NO,NO,YES,tbl_abundances,abundance_id,Specifies the related abundance record.
tbl_abundance_modifications,modification_type_id,3,integer,32,0,NULL,NO,NO,YES,tbl_modification_types,modification_type_id,Specifies the type of modification applied.
tbl_abundance_modifications,date_updated,4,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_abundance_properties,abundance_property_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,NULL
tbl_abundance_properties,abundance_id,2,integer,32,0,NULL,NO,NO,YES,tbl_abundances,abundance_id,NULL
tbl_abundance_properties,property_type_id,3,integer,32,0,NULL,NO,NO,YES,tbl_property_types,property_type_id,NULL
tbl_abundance_properties,property_value,4,text,NULL,NULL,NULL,NO,NO,NO,NULL,NULL,NULL
tbl_abundances,abundance_id,1,bigint,64,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
tbl_abundances,taxon_id,2,integer,32,0,NULL,NO,NO,YES,tbl_taxa_tree_master,taxon_id,Specifies the taxonomic unit related to this record.
tbl_abundances,analysis_entity_id,3,bigint,64,0,NULL,NO,NO,YES,tbl_analysis_entities,analysis_entity_id,Identifies the specific analysis entity associated with this record.
tbl_abundances,abundance_element_id,4,integer,32,0,NULL,YES,NO,YES,tbl_abundance_elements,abundance_element_id,"Specifies specific parts of a taxon, like leaf, seed, or MNI (Minimum Number of Individuals), enabling detailed taxonomic recording."
tbl_abundances,abundance,5,integer,32,0,NULL,NO,NO,NO,NULL,NULL,"Represents the frequency of occurrence, which is usually a numerical count, but can also indicate presence (1), a categorical value, or a value on a relative scale, in accordance with the dataset's data type."
tbl_abundances,date_updated,6,timestamp with time zone,NULL,NULL,NULL,YES,NO,NO,NULL,NULL,NULL
tbl_activity_types,activity_type_id,1,integer,32,0,NULL,NO,YES,NO,NULL,NULL,Primary key (automatically incremented).
