table_name,table_description,column_count,pk_columns,fk_columns,fk_target_tables
tbl_abundance_elements,"Contains reference data that defines the type of element, part, or unit being counted, as indicated by the values in tbl_abundances. For insects, this is often the Minimum Number of Individuals (MNI), but it can also include individual body parts such as wings, shells, or leg segments. For plant remains (macrofossils), it generally represents specific plant parts like seeds, leaves, or bud scales.",5,abundance_element_id,record_type_id,tbl_record_types
tbl_abundance_ident_levels,"Represents the degree of certainty in taxonomic identification, categorized by levels such as Family, Genus, or Species (e.g., cf. Family, cf. Genus, cf. Species).",4,abundance_ident_level_id,"abundance_id,identification_level_id","tbl_abundances,tbl_identification_levels"
tbl_abundance_modifications,"Contains information about modifications applied to individual specimen counts, such as carbonization, corrosion, or calcification. This enables recording multiple instances of the same taxon with varying modifications (e.g., Hordeum sp. carbonized and Hordeum sp. unmodified).",4,abundance_modification_id,"abundance_id,modification_type_id","tbl_abundances,tbl_modification_types"
tbl_abundance_properties,NULL,4,abundance_property_id,"abundance_id,property_type_id","tbl_abundances,tbl_property_types"
tbl_abundances,"Records data related to biological proxies, such as individual counts, presence indicators, or scaled values, linking each entry to a specific taxon through an analysis entity. It serves as a species list detailing abundance information for a single physical sample. The intermediate analysis entity allows for the association of multiple proxies per sample. Entries typically reflect count values (abundance), but can also denote presence (1) or use categorical or relative scales, as specified by the dataset's data type.",6,abundance_id,"abundance_element_id,analysis_entity_id,taxon_id","tbl_abundance_elements,tbl_analysis_entities,tbl_taxa_tree_master"
tbl_activity_types,"Defines the life stage or activity of an organism during a specific time of the year, such as 'adult' or 'flowering'.",4,activity_type_id,,
tbl_age_types,"Provides a reference for different chronological systems used to denote years, such as AD, BC, and BP.",4,age_type_id,,
tbl_alt_ref_types,"Defines the types of alternative references or names assigned to samples. These references might include identifiers like lab numbers, field numbers, museum numbers, or site excavation numbers, indicating the origin or purpose of the sample's alternative reference.",4,alt_ref_type_id,,
tbl_analysis_boolean_values,Stores analysis values that represent a boolean (true/false) condition.,4,analysis_boolean_value_id,analysis_value_id,tbl_analysis_values
tbl_analysis_categorical_values,Storage for analysis values that represents a categorical value.,5,analysis_categorical_value_id,"analysis_value_id,value_type_item_id","tbl_analysis_values,tbl_value_type_items"
