id;identifier;dataset_identifier;RADIO_C14 Std_To;RADIO_CalAMS_;RADIO_CalibC14_From_yrmax;RADIO_CalibC14_From_yrmin;RADIO_CalibC14_To_yrmax;RADIO_CalibC14_To_yrmin;RADIO_CalibC14_yrmax;RADIO_CalibC14_yrmin;RADIO_TL_From;RADIO_TL_To;RADIO_UnknownCal_From;RADIO_UnknownCal_To;RADIO_UnknownRadio_;RADIO_UnknownRadio_>;RADIO;CAL__BP;CAL_From_BP;CAL_To_BP;CAL_DatingMethod;CAL__BP_2;CAL_From_BP_2;CAL_To_BP_2;CAL_DatingMethod_2;CAL_From_BP_3;CAL_To_BP_3;CAL_DatingMethod_3;CAL__BP_4;CAL_From_BP_4;CAL_To_BP_4;CAL_DatingMethod_4;CALENDAR;PER_Notes;PER_BeginBP;PER_BeginBP_From;PER_BeginBP_To;PER_EndBP;PER_EndBP_From;PER_EndBP_To;PER_Notes_2;PER_BeginBP__2;PER_BeginBP_From_2;PER_BeginBP_To_2;PER_EndBP__2;PER_EndBP_From_2;PER_EndBP_To_2;PER_Notes_3;PER_BeginBP_To_3;PER_EndBP_To_3;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;UniqueFrom;UniqueTo;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDtaes;C14_older_than_30000BP;AgeErrorMinus;AgeErrorOrPlusError;From_Method;From_AgeErrorOrPlusError;From_AgeErrorMinus;To_Method;To_AgeErrorOrPlusError;To_AgeErrorMinus;AgeFrom;AgeTo
1;Hertogenbosch|COUN001580|F77;Hertogenbosch|COUN001580;;;;;;;;;;;;;;;0;;675;650;Typo;;;;;;;;;;;;1;;1550;;;400;;;;;;;;;;;;;1;;;;;650;675;400;1550;675;650;;;1;;;;;;;;;;;;;675;650
2;Aachen Burtscheid|COUN000001|S2;Aachen Burtscheid|COUN000001;;;;;;;;;;;;;;;0;;1925;1775;ArchCal;;;;;;;;;;;;1;;2005;;;1500;;;;;;;;;;;;;1;;;;;1775;1925;1500;2005;1925;1775;;;1;;;;;;;;;;;;;1925;1775
3;Aachen|COUN000450|S1;Aachen|COUN000450;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
4;Aberdeen|COUN000657|C22;Aberdeen|COUN000657;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
5;Aberdeen|COUN000657|C26;Aberdeen|COUN000657;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;1550;;;400;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
6;Aberdeen|COUN000658|C104;Aberdeen|COUN000658;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
7;Aberdeen|COUN000658|C107;Aberdeen|COUN000658;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
8;Aberdeen|COUN000658|C111;Aberdeen|COUN000658;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
9;Aberdeen|COUN000658|C60;Aberdeen|COUN000658;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
10;Aberdeen|COUN000658|C70;Aberdeen|COUN000658;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
11;Aberdeen|COUN000658|C81;Aberdeen|COUN000658;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
12;Aberdeen|COUN000658|C83;Aberdeen|COUN000658;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
13;Aberdeen|COUN000658|C84;Aberdeen|COUN000658;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
14;Aberdeen|COUN000658|C88;Aberdeen|COUN000658;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
15;Aberdeen|COUN000660|C119;Aberdeen|COUN000660;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
16;Aberdeen|COUN000660|C306;Aberdeen|COUN000660;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
17;Aberdeen|COUN000661|C393;Aberdeen|COUN000661;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
18;Aberdeen|COUN000661|C863;Aberdeen|COUN000661;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;1550;;;400;;;;;;;;;;;;;1;;;;;;;400;1550;1550;400;;;;1;;;;;;;;;;;;1550;400
19;Aberford: South Dyke|COUN000306|C1050;Aberford: South Dyke|COUN000306;;;;;;;1807;1554;;;;;;;1;;;;;;;;;;;;;;;;0;;1907;;;1540;;;;;;;;;;;;;1;1554;1807;;;;;1540;1907;1807;1554;1;;;;;;;;;;;;;;;1807;1554
20;Aberford: South Dyke|COUN000306|C1089;Aberford: South Dyke|COUN000306;;;;;;;2042;1827;;;;;;;1;;;;;;;;;;;;;;;;0;;1907;;;1540;;;;;;;;;;;;;1;1827;2042;;;;;1540;1907;2042;1827;1;;;;;;;;;;;;;;;2042;1827
21;Abingdon: Stert Street|COUN000482|BugsPresence;Abingdon: Stert Street|COUN000482;;;;;;;;;;;;;;;0;;550;350;ArchCal;;;;;;;;;;;;1;;1550;;;400;;;;;;;;;;;;;1;;;;;350;550;400;1550;550;350;;;1;;;;;;;;;;;;;550;350
22;Abior Cave|COUN000762|BugsPresence;Abior Cave|COUN000762;;;;;;;;;;;;;;;0;1815;;;HistCal;;;;;;;;;;;;1;;2449;;;1550;;;;;;;;;;;;;1;;;;;1815;1815;1550;2449;1815;1815;;;1;;;;;;;;;;;;;1815;1815
23;Abydos mummies|COUN000384|S1;Abydos mummies|COUN000384;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;5449;;;4449;;;;;;;;;;;;;1;;;;;;;4449;5449;5449;4449;;;;1;;;;;;;;;;;;5449;4449
24;Agerod V|COUN000004|S1;Agerod V|COUN000004;;;;;;;7837;7441;;;;;;;1;;;;;;;;;;;;;;;;0;;10000;;;7000;;;;;;;;;;;;;1;7441;7837;;;;;7000;10000;7837;7441;1;;;;;;;;;;;;;;;7837;7441
25;Aggtelek Cave|COUN001196|BugsPresence;Aggtelek Cave|COUN001196;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;0;;2599;;;1900;;;;;;;;;;;;;1;;;;;;;1900;2599;2599;1900;;;;1;;;;;;;;;;;;2599;1900
26;Akrotiri|COUN000006|3C;Akrotiri|COUN000006;;;;;;;;;;;;;;;0;3549;;;Wiggle;;;;;;;;;;;;1;Late Bronze Age Greece;3549;;;2599;;;;;;;;;;;;;1;;;;;3549;3549;2599;3549;3549;3549;;;1;;;;;;;;;;;;;3549;3549
27;Akrotiri|COUN000006|S5;Akrotiri|COUN000006;;;;;;;;;;;;;;;0;3549;;;Wiggle;;;;;;;;;;;;1;Late Bronze Age Greece;3549;;;2599;;;;;;;;;;;;;1;;;;;3549;3549;2599;3549;3549;3549;;;1;;;;;;;;;;;;;3549;3549
28;Akrotiri|COUN000006|S6;Akrotiri|COUN000006;;;;;;;;;;;;;;;0;3549;;;Wiggle;;;;;;;;;;;;1;Late Bronze Age Greece;3549;;;2599;;;;;;;;;;;;;1;;;;;3549;3549;2599;3549;3549;3549;;;1;;;;;;;;;;;;;3549;3549
29;Akrotiri|COUN000006|Sewer;Akrotiri|COUN000006;;;;;;;;;;;;;;;0;3549;;;Wiggle;;;;;;;;;;;;1;Late Bronze Age Greece;3549;;;2599;;;;;;;;;;;;;1;;;;;3549;3549;2599;3549;3549;3549;;;1;;;;;;;;;;;;;3549;3549
30;Akrotiri|COUN000927|BugsPresence;Akrotiri|COUN000927;;;;;;;;;;;;;;;0;3549;;;Wiggle;;;;;;;;;;;;1;Late Bronze Age Greece;3549;;;2599;;;;;;;;;;;;;1;;;;;3549;3549;2599;3549;3549;3549;;;1;;;;;;;;;;;;;3549;3549
31;Akrotiri|COUN001334|Drain;Akrotiri|COUN001334;;;;;;;;;;;;;;;0;3549;;;Wiggle;;;;;;;;;;;;1;Late Bronze Age Greece;3549;;;2599;;;;;;;;;;;;;1;;;;;3549;3549;2599;3549;3549;3549;;;1;;;;;;;;;;;;;3549;3549
32;Akrotiri|COUN001334|Room3c;Akrotiri|COUN001334;;;;;;;;;;;;;;;0;3549;;;Wiggle;;;;;;;;;;;;1;Late Bronze Age Greece;3549;;;2599;;;;;;;;;;;;;1;;;;;3549;3549;2599;3549;3549;3549;;;1;;;;;;;;;;;;;3549;3549
33;Akrotiri|COUN001334|Room5;Akrotiri|COUN001334;;;;;;;4222;3634;;;;;;;1;3558;;;Wiggle;;;;;;;;;;;;1;Late Bronze Age Greece;3549;;;2599;;;;;;;;;;;;;1;3634;4222;;;3558;3558;2599;3549;4222;3634;1;;;;1;;;;;;;;;;;4222;3634
