identifier,Chosen_C14,Chosen_OtherRadio,Chosen_Calendar,Chosen_Period,AgeFrom,AgeTo
Hertogenbosch|COUN001580|F77,,,1,,675,650
Aachen Burtscheid|COUN000001|S2,,,1,,1925,1775
Aachen|COUN000450|S1,,,,1,1550,400
Aberdeen|COUN000657|C22,,,,1,1550,400
Aberdeen|COUN000657|C26,,,,1,1550,400
Aberdeen|COUN000658|C104,,,,1,1550,400
Aberdeen|COUN000658|C107,,,,1,1550,400
Aberdeen|COUN000658|C111,,,,1,1550,400
Aberdeen|COUN000658|C60,,,,1,1550,400
Aberdeen|COUN000658|C70,,,,1,1550,400
Aberdeen|COUN000658|C81,,,,1,1550,400
Aberdeen|COUN000658|C83,,,,1,1550,400
Aberdeen|COUN000658|C84,,,,1,1550,400
Aberdeen|COUN000658|C88,,,,1,1550,400
Aberdeen|COUN000660|C119,,,,1,1550,400
Aberdeen|COUN000660|C306,,,,1,1550,400
Aberdeen|COUN000661|C393,,,,1,1550,400
Aberdeen|COUN000661|C863,,,,1,1550,400
Aberford: South Dyke|COUN000306|C1050,1,,,,1807,1554
Aberford: South Dyke|COUN000306|C1089,1,,,,2042,1827
Abingdon: Stert Street|COUN000482|BugsPresence,,,1,,550,350
Abior Cave|COUN000762|BugsPresence,,,1,,1815,1815
Abydos mummies|COUN000384|S1,,,,1,5449,4449
Agerod V|COUN000004|S1,1,,,,7837,7441
Aggtelek Cave|COUN001196|BugsPresence,,,,1,2599,1900
Akrotiri|COUN000006|3C,,,1,,3549,3549
Akrotiri|COUN000006|S5,,,1,,3549,3549
Akrotiri|COUN000006|S6,,,1,,3549,3549
Akrotiri|COUN000006|Sewer,,,1,,3549,3549
Akrotiri|COUN000927|BugsPresence,,,1,,3549,3549
Akrotiri|COUN001334|Drain,,,1,,3549,3549
Akrotiri|COUN001334|Room3c,,,1,,3549,3549
Akrotiri|COUN001334|Room5,1,,,,4222,3634
Akrotiri|COUN001334|Room6,,,1,,3549,3549
Akrotiri|COUN001335|S1,,,1,,3549,3549
Akrotiri|COUN001335|S16,,,1,,3549,3549
Akrotiri|COUN001335|S20/29,,,1,,3549,3549
Akrotiri|COUN001335|S28,,,1,,3549,3549
Akrotiri|COUN001335|S5/10,,,1,,3549,3549
Akrotiri|COUN001335|Trench,,,1,,3549,3549
Akrotiri|COUN001336|S1,,,1,,3549,3549
Akrotiri|COUN001337|S1,,,1,,3549,3549
Akrotiri|COUN001338|S1,,,1,,3549,3549
Alcester: Roman Pit|COUN000009|Pit F,,,1,,1750,1650
Alchester: Defences|COUN000010|L105,,,1,,1650,1550
Alchester: Defences|COUN000010|L122/6,,,1,,1907,1850
Alchester: Defences|COUN000010|L138,,,1,,1907,1850
Alchester: Faccenda Chicken Farm|COUN000596|C206,,,,1,1907,1540
