id;identifier;dataset_identifier;ZorDepthTop;ZorDepthBot;RADIO_CalibC14_Notes_simpl;RADIO_CalibC14__yrmax;RADIO_CalibC14__yrmin;RADIO_CalibC14_from_yrmax;RADIO_CalibC14_from_yrmin;RADIO_CalibC14_to_yrmax;RADIO_CalibC14_to_yrmin;RADIO_CalibC14_Notes_simpl_2;RADIO_CalibC14_from_yrmax_2;RADIO_CalibC14_from_yrmin_2;RADIO_C14_BeyondCalibration;RADIO_C14_BeyondCalibration_From;RADIO_C14_BeyondCalibration_To;RADIO_Method;RADIO_AAR_;RADIO_ESR_;RADIO_TL_;RADIO_TL_from;RADIO_TL_to;RADIO_U-Series_from;RADIO_U234/U238_;RADIO_UnknownRadio_.x;RADIO_UnknownRadio_from;RADIO_UnknownRadio_to;RADIO_AAR__2;RADIO_ESR__2;RADIO_TL__2;RADIO_TL_from_2;RADIO_TL_to_2;RADIO_UnknownRadio_.y;RADIO_AAR__3;RADIO_TL__3;RADIO_AAR__4;RADIO_AAR__5;RADIO;CAL__BP;CAL_From_BP;CAL_To_BP;CAL_DatingMethod;CAL_From_BP_2;CAL_To_BP_2;CAL_DatingMethod_2;CALENDAR;PER_Notes;PER_BeginBP;PER_BeginBP_From;PER_BeginBP_To;PER_EndBP;PER_EndBP_From;PER_EndBP_To;PER_Notes_2;PER_BeginBP__2;PER_BeginBP_From_2;PER_BeginBP_To_2;PER_EndBP__2;PER_EndBP_From_2;PER_EndBP_To_2;PER_Notes_3;PER_BeginBP__3;PER_EndBP__3;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;UniqueFrom;UniqueTo;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDtaes;C14_older_than_30000BP;AgeErrorOrPlusError;AgeErrorMinus;Chosen_C14_AgeDepthModel;From_Method;From_AgeErrorOrPlusError;From_AgeErrorMinus;To_Method;To_AgeErrorOrPlusError;To_AgeErrorMinus;AgeFrom;AgeTo
1;Abbots Way|COUN000449|BugsPresence;Abbots Way|COUN000449;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;0;;;;;;;;0;;;;;;;;;;;;;;;;;;0;;;;;;;;;;;;;;;;1;;;;;;;;;;;;
2;Abbots Way|COUN000449|S1;Abbots Way|COUN000449;0;5;;1989;1827;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0;;5000;;;0;;;;;;;;;;;;;1;1827;1989;;;;;0;5000;1989;1827;1;;;;;;;;;1;;;;;;;1989;1827
3;Abbots Way|COUN000449|S10;Abbots Way|COUN000449;45;50;;3303;3098;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3098;3303;;;;;0;5000;3303;3098;1;;;;;;;;;1;;;;;;;3303;3098
4;Abbots Way|COUN000449|S11;Abbots Way|COUN000449;50;55;;3455;3229;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3229;3455;;;;;0;5000;3455;3229;1;;;;;;;;;1;;;;;;;3455;3229
5;Abbots Way|COUN000449|S12;Abbots Way|COUN000449;55;60;;3606;3368;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3368;3606;;;;;0;5000;3606;3368;1;;;;;;;;;1;;;;;;;3606;3368
6;Abbots Way|COUN000449|S13;Abbots Way|COUN000449;60;65;;3759;3501;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3501;3759;;;;;0;5000;3759;3501;1;;;;;;;;;1;;;;;;;3759;3501
7;Abbots Way|COUN000449|S14;Abbots Way|COUN000449;65;70;;3911;3633;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3633;3911;;;;;0;5000;3911;3633;1;;;;;;;;;1;;;;;;;3911;3633
8;Abbots Way|COUN000449|S15;Abbots Way|COUN000449;70;75;;4065;3769;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; Level of Trackway;5000;;;0;;;;;;;;;;;;;1;3769;4065;;;;;0;5000;4065;3769;1;;;;;;;;;1;;;;;;;4065;3769
9;Abbots Way|COUN000449|S16;Abbots Way|COUN000449;75;80;;4100;3808;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3808;4100;;;;;0;5000;4100;3808;1;;;;;;;;;1;;;;;;;4100;3808
10;Abbots Way|COUN000449|S17;Abbots Way|COUN000449;80;85;;4135;3847;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3847;4135;;;;;0;5000;4135;3847;1;;;;;;;;;1;;;;;;;4135;3847
11;Abbots Way|COUN000449|S18;Abbots Way|COUN000449;85;90;;4168;3890;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3890;4168;;;;;0;5000;4168;3890;1;;;;;;;;;1;;;;;;;4168;3890
12;Abbots Way|COUN000449|S19;Abbots Way|COUN000449;90;95;;4203;3931;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3931;4203;;;;;0;5000;4203;3931;1;;;;;;;;;1;;;;;;;4203;3931
13;Abbots Way|COUN000449|S2;Abbots Way|COUN000449;5;10;;2128;1974;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;1974;2128;;;;;0;5000;2128;1974;1;;;;;;;;;1;;;;;;;2128;1974
14;Abbots Way|COUN000449|S20;Abbots Way|COUN000449;95;100;;4237;3971;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;3971;4237;;;;;0;5000;4237;3971;1;;;;;;;;;1;;;;;;;4237;3971
15;Abbots Way|COUN000449|S21;Abbots Way|COUN000449;100;105;;4273;4010;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4010;4273;;;;;0;5000;4273;4010;1;;;;;;;;;1;;;;;;;4273;4010
16;Abbots Way|COUN000449|S22;Abbots Way|COUN000449;105;110;;4308;4051;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4051;4308;;;;;0;5000;4308;4051;1;;;;;;;;;1;;;;;;;4308;4051
17;Abbots Way|COUN000449|S23;Abbots Way|COUN000449;110;115;;4342;4096;;;;;;;;;;;CalibC14;;;;;;;;;;;;;;;;;;;;;1;;;;;;;;0; ;5000;;;0;;;;;;;;;;;;;1;4096;4342;;;;;0;5000;4342;4096;1;;;;;;;;;1;;;;;;;4342;4096
