identifier,Chosen_C14,Chosen_OtherRadio,Chosen_Calendar,Chosen_Period,AgeFrom,AgeTo
Abbots Way|COUN000449|BugsPresence,,,,,,
Abbots Way|COUN000449|S1,1,,,,1989,1827
Abbots Way|COUN000449|S10,1,,,,3303,3098
Abbots Way|COUN000449|S11,1,,,,3455,3229
Abbots Way|COUN000449|S12,1,,,,3606,3368
Abbots Way|COUN000449|S13,1,,,,3759,3501
Abbots Way|COUN000449|S14,1,,,,3911,3633
Abbots Way|COUN000449|S15,1,,,,4065,3769
Abbots Way|COUN000449|S16,1,,,,4100,3808
Abbots Way|COUN000449|S17,1,,,,4135,3847
Abbots Way|COUN000449|S18,1,,,,4168,3890
Abbots Way|COUN000449|S19,1,,,,4203,3931
Abbots Way|COUN000449|S2,1,,,,2128,1974
Abbots Way|COUN000449|S20,1,,,,4237,3971
Abbots Way|COUN000449|S21,1,,,,4273,4010
Abbots Way|COUN000449|S22,1,,,,4308,4051
Abbots Way|COUN000449|S23,1,,,,4342,4096
Abbots Way|COUN000449|S24,1,,,,4378,4138
Abbots Way|COUN000449|S25,1,,,,4412,4182
Abbots Way|COUN000449|S26,1,,,,4449,4223
Abbots Way|COUN000449|S27,1,,,,4485,4264
Abbots Way|COUN000449|S28,1,,,,4519,4305
Abbots Way|COUN000449|S29,1,,,,4553,4347
Abbots Way|COUN000449|S3,1,,,,2269,2119
Abbots Way|COUN000449|S30,1,,,,4587,4386
Abbots Way|COUN000449|S31,1,,,,4625,4423
Abbots Way|COUN000449|S32,1,,,,4660,4461
Abbots Way|COUN000449|S33,1,,,,4695,4501
Abbots Way|COUN000449|S34,1,,,,4732,4539
Abbots Way|COUN000449|S35,1,,,,4768,4575
Abbots Way|COUN000449|S36,1,,,,4806,4612
Abbots Way|COUN000449|S37,1,,,,4842,4648
Abbots Way|COUN000449|S38,1,,,,4881,4684
Abbots Way|COUN000449|S39,1,,,,4919,4721
Abbots Way|COUN000449|S4,1,,,,2410,2265
Abbots Way|COUN000449|S40,1,,,,4958,4756
Abbots Way|COUN000449|S41,1,,,,4997,4791
Abbots Way|COUN000449|S42,1,,,,5037,4825
Abbots Way|COUN000449|S43,1,,,,5077,4859
Abbots Way|COUN000449|S44,1,,,,5116,4893
Abbots Way|COUN000449|S45,1,,,,5154,4928
Abbots Way|COUN000449|S46,1,,,,5194,4961
Abbots Way|COUN000449|S47,1,,,,5235,4997
Abbots Way|COUN000449|S48,1,,,,5273,5032
Abbots Way|COUN000449|S49,1,,,,5312,5068
Abbots Way|COUN000449|S5,1,,,,2552,2410
Abbots Way|COUN000449|S50,1,,,,5352,5103
Abbots Way|COUN000449|S51,1,,,,5393,5137
Abbots Way|COUN000449|S52,1,,,,5433,5172
Abbots Way|COUN000449|S53,1,,,,5474,5206
Abbots Way|COUN000449|S54,1,,,,5516,5241
Abbots Way|COUN000449|S55,1,,,,5556,5274
Abbots Way|COUN000449|S56,1,,,,5598,5308
Abbots Way|COUN000449|S57,1,,,,5638,5343
Abbots Way|COUN000449|S6,1,,,,2698,2551
Abbots Way|COUN000449|S7,1,,,,2847,2691
Abbots Way|COUN000449|S8,1,,,,2999,2833
Abbots Way|COUN000449|S9,1,,,,3151,2963
Abercynafon|COUN000451|S199,,,,1,6449,3649
Abercynafon|COUN000451|S200,,,,1,6449,3649
Abercynafon|COUN000451|S204,,,,1,6449,3649
Abercynafon|COUN000451|S206,,,,1,6449,3649
Abercynafon|COUN000451|S208,,,,1,6449,3649
Abercynafon|COUN000451|S214,,,,1,6449,3649
Abercynafon|COUN000451|S219,,,,1,6449,3649
Abercynafon|COUN000451|S571,,,,1,6449,3649
Abingdon|COUN000448|S0-3cm,,,,1,13500,10000
Abingdon|COUN000448|S14-19cm,,,,1,13500,10000
Abingdon|COUN000448|S19-24cm,1,,,,16415,15347
Abingdon|COUN000448|S24-29cm,,,,1,13500,10000
Abingdon|COUN000448|S29-34cm,,,,1,13500,10000
Abingdon|COUN000448|S3-5cm,,,,1,13500,10000
Abingdon|COUN000448|S34-39cm,,,,1,13500,10000
Abingdon|COUN000448|S39-45cm,,,,1,13500,10000
Abingdon|COUN000448|S45-50_5cm,,,,1,13500,10000
Abingdon|COUN000448|S5-9cm,,,,1,13500,10000
Abingdon|COUN000448|S50_5-56cm,,,,1,13500,10000
Abingdon|COUN000448|S56-61cm,,,,1,13500,10000
Abingdon|COUN000448|S61-65cm,,,,1,13500,10000
Abingdon|COUN000448|S65-69cm,,,,1,13500,10000
Abingdon|COUN000448|S69-77cm,,,,1,13500,10000
Abingdon|COUN000448|S77-83cm,,,,1,13500,10000
Abingdon|COUN000448|S83-89cm,,,,1,13500,10000
Abingdon|COUN000448|S89-92cm,,,,1,13500,10000
Abingdon|COUN000448|S9-14cm,1,,,,16783,16031
Aghnadarragh|COUN000030|U6,,1,,,109000,74000
Aghnadarragh|COUN000030|U8,1,,,,49910,44952
Akia Lake Q5|COUN001068|S442-444,1,,,,10228,9799
Akia Lake Q5|COUN001068|S446-448,,,,1,10000,7000
Alcester: Alluvial|COUN000008|LE,1,,,,9499,9033
Alcester: Alluvial|COUN000008|LF,1,,,,9499,9033
Alcester: Coulter's Garage|COUN000007|S240cm,1,,,,2748,2164
Alcester: Coulter's Garage|COUN000007|S250cm,,,,1,5000,0
Alderney: Longis Beach|COUN001086|BugsPresence,,,,1,10000,7000
Allt Odhar|COUN000481|COMP,,1,,,117000,96000
Allt Odhar|COUN000481|S1,,1,,,117000,96000
Allt Odhar|COUN000481|S2,,1,,,117000,96000
Allt Odhar|COUN000481|S3,,1,,,117000,96000
Allt Odhar|COUN000481|S4,,1,,,117000,96000
Allt Odhar|COUN000481|S5,,1,,,117000,96000
Allt Odhar|COUN000481|S6,,1,,,117000,96000
Alvajarvi: Pihtipudas|COUN000703|BugsPresence,,,,1,5000,0
Ammassalik|COUN001125|BugsPresence,1,,,,10479,7588
Andoya Lakes|COUN001067|BugsPresence,,,,1,122000,10000
Arclid|COUN001644|S1,,,,1,96000,87000
Arclid|COUN001644|S2,,,,1,96000,87000
Arclid|COUN001644|S3,,,,1,96000,87000
Ardleigh|COUN000755|BugsPresence,,,,1,478000,243000
Armthorpe|COUN000013|S1,1,,,,13325,12713
Askern|COUN000014|S1,,,,1,5000,0
Aston Mill: Glacial|COUN000016|S1,1,,,,38231,29536
Aston Mill: Late Holocene|COUN000015|S1,1,,,,3898,3392
Aston on Trent|COUN000863|BugsPresence,,,,,,
Aston on Trent|COUN000863|S1,,,,,,
Aston on Trent|COUN000863|S10,1,,,,3560,0
Aston on Trent|COUN000863|S11,1,,,,3560,0
Aston on Trent|COUN000863|S12,1,,,,3560,0
Aston on Trent|COUN000863|S13,,,,1,10000,0
Aston on Trent|COUN000863|S2,,,,,,
Aston on Trent|COUN000863|S3,,,,,,
Aston on Trent|COUN000863|S4,,,,,,
Aston on Trent|COUN000863|S5,,,,,,
Aston on Trent|COUN000863|S6,,,,,,
Aston on Trent|COUN000863|S7,,,,1,10000,0
Aston on Trent|COUN000863|S8,,,,1,10000,0
Aston on Trent|COUN000863|S9,1,,,,3560,0
Aston on Trent|COUN001504|BugsPresence,,,,1,10000,7000
Aston on Trent|COUN001506|S1,,,,1,10000,7000
Aston on Trent|COUN001506|S10,,,,1,10000,7000
Aston on Trent|COUN001506|S11,,,,1,10000,7000
Aston on Trent|COUN001506|S12,,,,1,10000,7000
Aston on Trent|COUN001506|S13,,,,1,10000,7000
Aston on Trent|COUN001506|S2,,,,1,10000,7000
Aston on Trent|COUN001506|S3,,,,1,10000,7000
Aston on Trent|COUN001506|S4,,,,1,10000,7000
Aston on Trent|COUN001506|S5,,,,1,10000,7000
Aston on Trent|COUN001506|S6,1,,,,9434,9095
Aston on Trent|COUN001506|S7,,,,1,10000,7000
Aston on Trent|COUN001506|S8,,,,1,10000,7000
Aston on Trent|COUN001506|S9,,,,1,10000,7000
Aston on Trent|COUN001507|BugsPresence,,,,,,
Aston on Trent|COUN001507|S1,,,,1,10000,7000
Aston on Trent|COUN001507|S10,,,,1,10000,7000
Aston on Trent|COUN001507|S11,,,,1,10000,7000
Aston on Trent|COUN001507|S12,,,,1,10000,7000
Aston on Trent|COUN001507|S13,,,,1,10000,7000
Aston on Trent|COUN001507|S2,,,,1,10000,7000
Aston on Trent|COUN001507|S3,,,,1,10000,7000
Aston on Trent|COUN001507|S4,,,,1,10000,7000
Aston on Trent|COUN001507|S5,,,,1,10000,7000
Aston on Trent|COUN001507|S6,1,,,,9434,9095
Aston on Trent|COUN001507|S7,,,,1,10000,7000
Aston on Trent|COUN001507|S8,,,,1,10000,7000
Aston on Trent|COUN001507|S9,,,,1,10000,7000
Austerfield|COUN000019|GA1300,,,,1,132000,109000
Austerfield|COUN000019|GA1301,,,,1,132000,109000
Austerfield|COUN000019|GA1302,,,,1,132000,109000
Aveley|COUN000020|S1,,,,1,243000,191000
Awkley|COUN001248|C118,1,,,,6476,6299
Awkley|COUN001248|C121,1,,,,5036,4647
Bad Tatzmannsdorf|COUN000021|BugsPresence,,,,1,12500,11500
Baker site|COUN000022|B,,,,1,5000,0
Baker site|COUN000022|S12,,,,1,5000,0
Baker site|COUN000022|S14,,,,1,5000,0
Baker site|COUN000022|S16,,,,1,5000,0
Baker site|COUN000022|S18,,,,1,5000,0
Baker site|COUN000022|S20,,,,1,5000,0
Baker site|COUN000022|S22,,,,1,5000,0
Baker site|COUN000022|S24,,,,1,5000,0
Baker site|COUN000022|S26,,,,1,5000,0
Baker site|COUN000022|S28,,,,1,5000,0
Baker site|COUN000022|S30,,,,1,5000,0
Baker site|COUN000022|S34,,,,1,5000,0
Baker site|COUN000022|T,1,,,,5464,4892
Balderton Formation: Brandon & Sumbler all sites|COUN001446|a,,,,1,191000,130000
Balderton Formation: Brandon & Sumbler all sites|COUN001446|b,,,,1,191000,130000
Balderton Formation: Brandon & Sumbler all sites|COUN001446|c,,,,1,191000,130000
Balderton Formation: Brandon & Sumbler all sites|COUN001446|d,,,,1,191000,130000
Balderton Formation: Brandon & Sumbler all sites|COUN001446|e,,,,1,191000,130000
Balderton Formation: Brandon & Sumbler all sites|COUN001446|f,,,,1,191000,130000
Balglass Burn|COUN001247|S1,1,,,,41162,31393
Ballybean Archaeology|COUN001315|S1,,,,1,10000,0
Ballybean Archaeology|COUN001315|S11,,,,1,10000,0
Ballybean Archaeology|COUN001315|S13,,,,1,10000,0
Ballybean Archaeology|COUN001315|S15,,,,1,10000,0
Ballybean Archaeology|COUN001315|S17,,,,1,10000,0
Ballybean Archaeology|COUN001315|S3,,,,1,10000,0
Ballybean Archaeology|COUN001315|S5,,,,1,10000,0
Ballybean Archaeology|COUN001315|S7,,,,1,10000,0
Ballybean Archaeology|COUN001315|S9,,,,1,10000,0
Ballybean Archaeology|COUN001316|S1,,,,1,10000,0
Ballybean Archaeology|COUN001316|S11,,,,1,10000,0
Ballybean Archaeology|COUN001316|S13,,,,1,10000,0
Ballybean Archaeology|COUN001316|S15,,,,1,10000,0
Ballybean Archaeology|COUN001316|S17,,,,1,10000,0
Ballybean Archaeology|COUN001316|S19,,,,1,10000,0
Ballybean Archaeology|COUN001316|S21,,,,1,10000,0
Ballybean Archaeology|COUN001316|S23,,,,1,10000,0
Ballybean Archaeology|COUN001316|S3,,,,1,10000,0
Ballybean Archaeology|COUN001316|S5,,,,1,10000,0
Ballybean Archaeology|COUN001316|S7,,,,1,10000,0
Ballybean Archaeology|COUN001316|S9,,,,1,10000,0
Ballybean Bog|COUN001303|S10,,,,1,10000,0
Ballybean Bog|COUN001303|S12,,,,1,10000,0
Ballybean Bog|COUN001303|S14,,,,1,10000,0
Ballybean Bog|COUN001303|S16,,,,1,10000,0
Ballybean Bog|COUN001303|S18,,,,1,10000,0
Ballybean Bog|COUN001303|S2,,,,1,10000,0
Ballybean Bog|COUN001303|S20,,,,1,10000,0
Ballybean Bog|COUN001303|S4,,,,1,10000,0
Ballybean Bog|COUN001303|S6,,,,1,10000,0
Ballybean Bog|COUN001303|S8,,,,1,10000,0
Ballybean Bog|COUN001304|S1,,,,1,10000,0
Ballybean Bog|COUN001304|S11,,,,1,10000,0
Ballybean Bog|COUN001304|S13,,,,1,10000,0
Ballybean Bog|COUN001304|S15,,,,1,10000,0
Ballybean Bog|COUN001304|S17,,,,1,10000,0
Ballybean Bog|COUN001304|S19,,,,1,10000,0
Ballybean Bog|COUN001304|S21,,,,1,10000,0
Ballybean Bog|COUN001304|S23,,,,1,10000,0
Ballybean Bog|COUN001304|S3,,,,1,10000,0
Ballybean Bog|COUN001304|S5,,,,1,10000,0
Ballybean Bog|COUN001304|S7,,,,1,10000,0
Ballybean Bog|COUN001304|S9,,,,1,10000,0
Ballybean Bog|COUN001305|S10,,,,1,10000,0
Ballybean Bog|COUN001305|S12,,,,1,10000,0
Ballybean Bog|COUN001305|S14,,,,1,10000,0
Ballybean Bog|COUN001305|S16,,,,1,10000,0
Ballybean Bog|COUN001305|S18,,,,1,10000,0
Ballybean Bog|COUN001305|S2,,,,1,10000,0
Ballybean Bog|COUN001305|S20,,,,1,10000,0
Ballybean Bog|COUN001305|S4,,,,1,10000,0
Ballybean Bog|COUN001305|S6,,,,1,10000,0
Ballybean Bog|COUN001305|S8,,,,1,10000,0
Ballybean Bog|COUN001306|S10,,,,1,10000,0
