identifier,Chosen_C14,Chosen_OtherRadio,Chosen_Calendar,Chosen_Period,AgeFrom,AgeTo
Järrestad|COUN001745|S2II,,,True,,950,950
Järrestad|COUN001745|S2III,,,True,,950,950
Järrestad|COUN001745|S3,,,True,,1150,1050
Järrestad|COUN001745|S2I,,,True,,950,950
"Záblacany, Polesovice|COUN001702|BugsPresence",,,True,,950,850
Uherský Brod|COUN001701|BugsPresence,,,True,,550,350
Järrestad|COUN001745|S1,,,True,,1350,1250
Fréjus: Camelin|COUN001721|BugsPresence,,,True,,1900,1850
Zürich-Parkhaus Opéra|COUN001742|BugsPresence,,,True,,5399,4799
Baston|COUN001691|C1064,,,,True,1907,1540
Baston|COUN001691|C168_1,,,,True,1907,1540
Baston|COUN001691|C168_2,,,,True,1907,1540
Baston|COUN001691|C196,,,,True,1907,1540
Bedford: Duck Mill Lane|COUN001690|BugsPresence,,,,True,1550,400
Boreham: Great Holts Farm|COUN001747|S971,,,,,,
Boreham: Great Holts Farm|COUN001747|S972,,,,,,
Boreham: Great Holts Farm|COUN001747|S973,,,,,,
Brussels: St Marie d'Oignies|COUN001696|BugsPresence,,,,True,1550,400
Chester-le-Street|COUN001748|BugsPresence,,,,True,1907,1540
Cults Loch|COUN001693|S207,,,,True,2599,1900
Cults Loch|COUN001693|S210,,,,True,2599,1900
Cults Loch|COUN001693|S212,,,,True,2599,1900
Cults Loch|COUN001693|S510,,,,True,2599,1900
Cults Loch|COUN001693|S512,,,,True,2599,1900
Cults Loch|COUN001693|S513,,,,True,2599,1900
Cults Loch|COUN001693|S515,,,,True,2599,1900
Cults Loch|COUN001693|S604,,,,True,2599,1900
Cults Loch|COUN001693|S616,,,,True,2599,1900
Cults Loch|COUN001693|S622,,,,True,2599,1900
Cults Loch|COUN001693|S629,,,,True,2599,1900
Cults Loch|COUN001693|S633,,,,True,2599,1900
Cults Loch|COUN001693|S634,,,,True,2599,1900
Cults Loch|COUN001693|S635,,,,True,2599,1900
Dambach|COUN001707|S45,,,,True,2005,1500
Dambach|COUN001707|S46,,,,True,2005,1500
Dambach|COUN001707|S47,,,,True,2005,1500
Dambach|COUN001707|S48,,,,True,2005,1500
Dambach|COUN001707|S49,,,,True,2005,1500
Dambach|COUN001707|S50,,,,True,2005,1500
Dambach|COUN001708|S12,,,,,,
Dambach|COUN001708|S13,,,,,,
Dambach|COUN001708|S14,,,,,,
Dambach|COUN001708|S15,,,,,,
Dambach|COUN001708|S16,,,,,,
Dambach|COUN001708|S17,,,,,,
