identifier;dataset_identifier;SheetContext;ZorDepthBot;RADIO_CalibC14_Notes_simpl;RADIO_CalibC14__yrmax;RADIO_CalibC14__yrmin;RADIO_CalibC14_from_yrmax;RADIO_CalibC14_from_yrmin;RADIO_CalibC14_to_yrmax;RADIO_CalibC14_to_yrmin;RADIO_CalibC14_Method;RADIO_TL_yrmin;RADIO_TL_yrmax;RADIO_TL_Method;RADIO;CAL_From_BP;CAL_To_BP;CALENDAR;PER_Notes;PER_BeginBP;PER_EndBP;PERIOD;P1_RADIO_To;P1_RADIO_From;P2_RADIO_To;P2_RADIO_From;P3_CAL_To;P3_CAL_From;P4_PER_To;P4_PER_From;Chosen_C14;Chosen_OtherRadio;Chosen_Calendar;Chosen_Period;RadioAndCalendarAvailable;NoDates;C14_older_than_30000BP;From_Method;To_Method;From_AgeErrorOrPlusError;To_AgeErrorOrPlusError;AgeFrom;AgeTo;ss
Aston on Trent|COUN001732|<11>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Aston on Trent|COUN001732|<12>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;3469;3339;True;;10000;0;True;;;;;3339;3469;0;10000;;;True;;;;;;;;;3469;3339;
Aston on Trent|COUN001732|<17>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Aston on Trent|COUN001732|<18>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Aston on Trent|COUN001732|<3-4>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Aston on Trent|COUN001732|<44>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Aston on Trent|COUN001732|<46>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;3549;3209;True;;10000;0;True;;;;;3209;3549;0;10000;;;True;;;;;;;;;3549;3209;
Aston on Trent|COUN001732|<47>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Aston on Trent|COUN001732|<5>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;3389;3209;True;;10000;0;True;;;;;3209;3389;0;10000;;;True;;;;;;;;;3389;3209;
Aston on Trent|COUN001732|<51>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;3549;3209;True;;10000;0;True;;;;;3209;3549;0;10000;;;True;;;;;;;;;3549;3209;
Aston on Trent|COUN001732|<52>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Aston on Trent|COUN001732|<6>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;;;False;;10000;0;True;;;;;;;0;10000;;;;True;;;;;;;;10000;0;
Aston on Trent|COUN001732|<7>;Aston on Trent|COUN001732;Other Palaeo;;;;;;;;;;;;;False;3389;3259;True;;10000;0;True;;;;;3259;3389;0;10000;;;True;;;;;;;;;3389;3259;
Barrow-upon-Trent|COUN001729|S1;Barrow-upon-Trent|COUN001729;Stratigraphic sequence;10;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Barrow-upon-Trent|COUN001729|S2;Barrow-upon-Trent|COUN001729;Stratigraphic sequence;20;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Barrow-upon-Trent|COUN001729|S3;Barrow-upon-Trent|COUN001729;Stratigraphic sequence;30;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Barrow-upon-Trent|COUN001729|S4;Barrow-upon-Trent|COUN001729;Stratigraphic sequence;40;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Barrow-upon-Trent|COUN001729|S5;Barrow-upon-Trent|COUN001729;Stratigraphic sequence;50;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
Barrow-upon-Trent|COUN001729|S6;Barrow-upon-Trent|COUN001729;Stratigraphic sequence;60;;;;;;;;;;;;False;;;False;;;;False;;;;;;;;;;;;;;True;;;;;;;;
