SEAD_taxonomic_code	SEAD_taxon_id	SEAD_taxon	SEAD_author_name	Dyntaxa_taxonID
88,002022	33733	Donacia tomentosa	Ahr.	100853
4,006002	29530	Hygrotus parallelogrammus	(Ahr.)	103586
88,002014	33725	Donacia brevicornis	Ahr.	105979
1,029003	29026	Bembidion argenteolum	Ahr.	100466
4,031005	29716	Dytiscus circumcinctus	Ahr.	103694
1,016023	28986	Dyschirius angustatus	(Ahr.)	100871
88,002009	33721	Donacia sparganii	Ahr.	105976
36,003001	32168	Eucnemis capucina	Ahr.	100928
88,0520121	34011	Altica longicollis	(All.)	106123
88,052012	34010	Altica longicollis	(All.)	106123
88,05201	34008	Altica helianthemi	(All.)	212839
27,002028	31920	Cantharis cryptica	Ashe	105113
24,017001	31851	Bythinus macropalpus	Aubé	104332
4,0080131	29559	Hydroporus morio	Aubé	103606
53,001006	32559	Monotoma brevicollis	Aubé	105469
53,001004	32557	Monotoma spinicollis	Aubé	105467
24,0140013	31843	Batrisus formicarius	Aubé	209892
24,013001	31842	Amauronyx maerkelii	(Aubé)	100252
4,023008	29631	Agabus melanarius	Aubé	103637
10,007001	29997	Aeletes atomarius	(Aubé)	100179
88,052003	34002	Altica lythri	Aubé	212829
3,003007	29503	Haliplus fluviatilis	Aubé	103569
23,223002	31719	Oxypoda elongatula	Aubé	104632
4,008028	29574	Hydroporus obsoletus	Aubé	101096
4,026002	29683	Rhantus notaticollis	(Aubé)	102332
58,005007	32821	Dienerella filum	(Aubé)	105702
53,001001	32554	Monotoma quadrifoveolata	Aubé	101345
5,002005	29729	Gyrinus distinctus	Aubé	103700
10,009004	30006	Gnathoncus buyssoni	Auzat	103800
4,028002	29700	Hydaticus continentalis	Balfour-Browne	101084
23,104046	31120	Quedius nemoralis	Baudi	104159
23,18811	31535	Atheta gagatina	(Baudi)	104804
93,099001	34726	Comasinus setiger	(Beck)	101473
93,142001	34894	Eubrychius velutus	(Beck)	106469
88,051037	33987	Longitarsus apicalis	(Beck)	102291
23,008006	30428	Megarthrus denticollis	(Beck)	104353
85,019035	33499	Aphodius paykulli	Bedel	105043
7,003008	29800	Limnebius aluta	Bedel	103836
1,029104	29120	Bembidion iricolor	Bedel	208520
7,0050153	29836	Helophorus brevipalpis	Bedel	103711
7,0040035	29810	Hydrochus megaphallus	Berge	102274
4,0260051	29686	Rhantus bistriatus	(Bergs.)	102331
4,031003	29714	Dytiscus dimidiatus	Bergs.	103692
23,046018	30608	Carpelimus manchuricus	(Bern.)	100546
23,014005	30460	Phyllodrepa puberula	Bernh.	104376
23,099023	31070	Tasgius winkleri	(Bernh.)	101434
23,104026	31109	Quedius curtipennis	Bernh.	104152
71,005003	33194	Sphaeriestes stockmanni	(Biström)	101803
91,035007	34265	Ips sexdentatus	(Boern.)	101139
93,071001	34628	Pseudophloeophagus aeneopiceus	(Bohe.)	232463
93,024003	34500	Omiamima mollina	(Bohe.)	106269
62,008022	32970	Nephus bisignatus	(Bohe.)	105639
89,003005	34117	Bruchus rufimanus	Bohe.	105960
88,066012	34057	Chaetocnema confusa	(Bohe.)	106147
93,114005	34817	Lepyrus quadrinotatus	Bohe.	106446
93,13501	34876	Acalles misellus	Bohe.	213487
89,003001	39991	Bruchus laticollis	Bohe.	233779
93,163084	34970	Datonychus urticae	(Bohe.)	213587
93,037011	34549	Exomias pellucidus	(Bohe.)	106291
93,027007	34522	Polydrusus pterygomalis	Bohe.	101615
93,163024	34946	Ceutorhynchus atomus	Bohe.	102208
88,066009	34054	Chaetocnema obesa	(Boield.)	232439
69,008015	33158	Ptinus tectus	Boield.	105300
42,002005	32251	Dryops similaris	Bollow	105084
23,050026	30697	Bledius occidentalis	Bond.	104502
1,070001	29417	Badister unipustulatus	Bonelli	100440
93,035006	34543	Brachysomus echinatus	(Bonsd.)	106288
93,050003	34601	Tropiphorus obtusus	(Bonsd.)	106304
93,033001	34541	Sciaphilus asperatus	(Bonsd.)	106287
93,044018	34586	Sitona lineellus	(Bonsd.)	106313
36,002002	32166	Isorhipis marmottani	Bonv.	102285
37,001003	32182	Trixagus carinifrons	(Bonv.)	105204
85,019044	33505	Aphodius prodromus	(Brahm)	105047
45,002002	32318	Attagenus unicolor	(Brahm)	105253
4,023027	29661	Agabus labiatus	(Brahm)	103658
88,032001	33852	Prasocuris junci	(Brahm)	106038
88,002005	33718	Donacia versicolorea	(Brahm)	105974
60,024003	32716	Cerylon fagi	Bris.	105604
93,163042	34954	Ceutorhynchus griseus	Bris.	100589
93,163035	34951	Ceutorhynchus alliariae	Bris.	102524
93,163047	34956	Ceutorhynchus parvulus	Bris.	213566
55,012001	32694	Caenoscelis subdeplanata	Bris.	105529
16,011008	30218	Agathidium confusum	Bris.	103940
23,063002	30849	Sunius propinquus	(Bris.)	209716
93,074001	34632	Euophryum confine	(Broun)	213429
1,079006	29457	Dromius angustus	Brullé	103541
23,104027	31111	Quedius levicollis	(Brullé)	104153
93,087004	34664	Bagous tubulus	Cald. & OBrien	100442
23,055084	30782	Stenus umbratilis	Casey	104299
91,001007	34164	Scolytus laevis	Chapius	106555
9,018001	29974	Berosus signaticollis	(Charp.)	102198
54,002007	32615	Triplax scutellaris	Charp.	105583
1,045007	29227	Bradycellus caucasicus	(Chaud.)	103519
1,070007	29422	Badister dilatatus	Chaud.	103491
1,032002	29140	Patrobus assimilis	Chaud.	103336
18,009028	30280	Euconnus fimetarius	(Chaud.)	104020
66,001001	33058	Trogoxylon impressum	(Com.)	105277
58,007005	32830	Corticaria fulva	(Com.)	105720
88,049007	33926	Phyllotreta tetrastigma	(Com.)	106087
79,016014	33292	Anaspis pulicaria	Costa	212301
85,024001	33561	Pleurophorus caesus	(Creutz.)	101604
10,004001	29990	Chaetabraeus globulus	(Creutz.)	103787
1,019001	28992	Perileptus areolatus	(Creutz.)	101527
23,08802	30975	Philonthus laminatus	(Creutz.)	104064
1,043001	29212	Dicheirotrichus gustavii	Crotch	103521
53,017013	32599	Cryptolestes spartii	(Curtis)	105485
44,002004	32295	Heterocerus obsoletus	Curtis	105088
23,059007	30815	Paederus fuscipes	Curtis	104206
34,045001	32143	Fleutiauxellus maritimus	(Curtis)	105149
88,049011	33929	Phyllotreta ochripes	(Curtis)	106092
1,009007	28948	Notiophilus rufipes	Curtis	101411
37,001006	32184	Trixagus obtusus	(Curtis)	6001921
93,076001	34635	Rhopalomesites tardii	(Curtis)	213430
7,001016	29756	Hydraena testacea	Curtis	101090
69,001001	33139	Gibbium psylloides	(Czen.)	105294
1,016009	28979	Dyschirius impunctipennis	Daws.	100873
1,029081	29097	Bembidion clarkii	(Dawson)	103386
93,040003	34558	Strophosoma capitatum	(Deg.)	106298
88,051017	33970	Longitarsus melanocephalus	(Deg.)	106105
17,002007	30234	Clambus armadillo	(Deg.)	105005
4,032001	29721	Cybister lateralimarginalis	(Deg.)	100773
1,041021	29174	Harpalus rufipes	(Deg.)	103500
85,019066	33521	Aphodius ater	(Deg.)	105052
4,016002	29599	Boreonectes griseostriatus	(Deg.)	103630
1,065021	29365	Amara aenea	(Deg.)	103457
