23,Ecoab,2017-08-14 11:59:00.28+02,in trees.,1,arboricolous,,0
24,Ecoag,2017-08-14 11:59:00.28+02,agarics,1,agaricolous,,0
25,Ecoak,2017-08-14 11:59:00.28+02,in tree tops.,1,akrodendric,,0
26,Ecoap,2017-08-14 11:59:00.28+02,in reeds.,1,arundicolous,,0
27,Ecoaq,2017-08-14 11:59:00.28+02,in water,1,aquatic,,0
28,Ecoar,2017-08-14 11:59:00.28+02,on sand.,1,arenicolous,,0
29,Ecoav,2017-08-14 11:59:00.28+02,in arable fields.,1,arvicolous,,0
30,Ecobo,2017-08-14 11:59:00.296+02,tube fungi.,1,boleticolous,,0
31,Ecoca,2017-08-14 11:59:00.296+02,in cadavers.,1,cadavericolous,,0
32,Ecoco,2017-08-14 11:59:00.296+02,under bark.,1,corticolous,,0
33,Ecocp,2017-08-14 11:59:00.296+02,in fields.,1,campicolous,,0
34,Ecocv,2017-08-14 11:59:00.296+02,in caves.,1,cavernicolous,,0
35,Ecode,2017-08-14 11:59:00.296+02,in waste places.,1,deserticolous,,0
36,Ecodt,2017-08-14 11:59:00.296+02,in litter,1,detriticolous,,0
37,Ecofl,2017-08-14 11:59:00.296+02,on flowers.,1,floricolous,,0
38,Ecofu,2017-08-14 11:59:00.296+02,in fungi.,1,fungicolous,,0
39,Ecogr,2017-08-14 11:59:00.296+02,on grasses,1,graminicolous,,0
40,Ecohe,2017-08-14 11:59:00.296+02,on herbs.,1,herbicolous,,0
41,Ecohu,2017-08-14 11:59:00.312+02,in the humus layer.,1,humicolous,,0
42,Ecolc,2017-08-14 11:59:00.312+02,in mud.,1,linicolous,,0
43,Ecoli,2017-08-14 11:59:00.312+02,in wood.,1,lignicolous,,0
44,Ecolm,2017-08-14 11:59:00.312+02,in inland waters.,1,limnicolous,,0
45,Ecomi,2017-08-14 11:59:00.312+02,in galleries nests lairs of rodents etc.,1,microcavernicolous,,0
46,Ecomu,2017-08-14 11:59:00.312+02,in moss.,1,muscicolous,,0
47,Econi,2017-08-14 11:59:00.312+02,in birds' nests.,1,nidicolous,,0
48,Econv,2017-08-14 11:59:00.312+02,snow.,1,nivicolous,,0
49,Ecopa,2017-08-14 11:59:00.312+02,in swamps.,1,paludicolous,,0
50,Ecope,2017-08-14 11:59:00.312+02,among stones.,1,petricolous,,0
51,Ecoph,2017-08-14 11:59:00.312+02,leaves.,1,phyllicolous,,0
52,Ecopl,2017-08-14 11:59:00.312+02,on shoots.,1,planticolous,,0
53,Ecopo,2017-08-14 11:59:00.312+02,in fungi (e.g. dry rot).,1,polyporicolous,,0
54,Ecopr,2017-08-14 11:59:00.327+02,in meadows.,1,praticolous,,0
55,Ecops,2017-08-14 11:59:00.327+02,tied to specific host animal,1,parasitic,,0
56,Ecopt,2017-08-14 11:59:00.327+02,in plant debris.,1,phytodetriticolous,,0
57,Ecopy,2017-08-14 11:59:00.327+02,in leaf debris.,1,phyllodetriticolous,,0
58,Ecori,2017-08-14 11:59:00.327+02,on river banks.,1,ripicolous,,0
59,Ecosi,2017-08-14 11:59:00.327+02,in woodland.,1,silvicolous,,0
60,Ecosk,2017-08-14 11:59:00.327+02,in dung,1,stercoricolous,,0
61,Ecosp,2017-08-14 11:59:00.327+02,in Sphagnum.,1,sphagnicolous,,0
62,Ecost,2017-08-14 11:59:00.327+02,on the steppes.,1,steppicolous,,0
63,Ecosu,2017-08-14 11:59:00.327+02,at sap.,1,succicolous,,0
64,Ecote,2017-08-14 11:59:00.327+02,in the earth.,1,terricolous or subterranean,,0
65,Ecoto,2017-08-14 11:59:00.343+02,by waterfalls.,1,torrenticolous,,0
66,Ecoxy,2017-08-14 11:59:00.343+02,in wood debris.,1,xylodetriticolous,,0
67,Ecozo,2017-08-14 11:59:00.343+02,in animal debris,1,zoodetriticolous,,0
68,FCoHo,2017-08-14 11:59:00.343+02,slimey dissolved consistency.,2,holoprobic,,0
69,FCoMe,2017-08-14 11:59:00.343+02,distinct traces of rot in the whole substrate.,2,mesoprobic,,0
70,FCoOl,2017-08-14 11:59:00.343+02,beginning to rot.,2,oligoprobic,,0
71,FDeEk,2017-08-14 11:59:00.343+02,feeds on the plant’s outer parts.,3,ectophagous,,0
72,FDeEn,2017-08-14 11:59:00.343+02,feeds on the plant’s inner parts.,3,endophagous,,0
73,FDeMe,2017-08-14 11:59:00.343+02,feeds on plant structural parts.,3,merotopic,,0
74,FDeMo,2017-08-14 11:59:00.343+02,specialises on a  specific plant or animal species.,3,monophagous,,0
75,FDeOl,2017-08-14 11:59:00.343+02,on a narrow range of often closely related species.,3,oligophagous,,0
76,FDeOm,2017-08-14 11:59:00.343+02,on living or dead plant and animal materials.,3,omnivorous,,0
77,FDePo,2017-08-14 11:59:00.343+02,on a wide variety of various plant or animal species.,3,polyphagous,,0
78,FDeXe,2017-08-14 11:59:00.343+02,developing on an otherwise not common food.,3,xenophagous,,0
79,FDeXn,2017-08-14 11:59:00.359+02,prefers a foodstuff originating from abroad.,3,xenophilous,,0
80,FNoAl,2017-08-14 11:59:00.359+02,feeds on algae.,4,algophagous,,0
81,FNoAp,2017-08-14 11:59:00.359+02,on aphids.,4,aphidophagous,,0
82,FNoBl,2017-08-14 11:59:00.359+02,on buds.,4,blastophagous,,0
83,FNoCa,2017-08-14 11:59:00.359+02,on seeds.,4,carpophagous,,0
84,FNoCe,2017-08-14 11:59:00.359+02,in galls.,4,cecidophagous,,0
85,FNoCo,2017-08-14 11:59:00.359+02,on bark.,4,cortivorous,,0
86,FNoCp,2017-08-14 11:59:00.359+02,in dung.,4,coprophilous,,0
87,FNoCu,2017-08-14 11:59:00.359+02,on stalks.,4,caulophagous,,0
88,FNoDi,2017-08-14 11:59:00.359+02,eats Dipterous larvae,4,,,0
89,FNoEn,2017-08-14 11:59:00.359+02,eats insects.,4,entomophagous,,0
90,FNoFr,2017-08-14 11:59:00.359+02,on fruits.,4,fructivorous,,0
91,FNoHe,2017-08-14 11:59:00.359+02,eats worms,4,helminthophagous  ,,0
92,FNoKr,2017-08-14 11:59:00.359+02,on living animals (parasitic).,4,kreophilous,,0
93,FNoLi,2017-08-14 11:59:00.374+02,on lichens.,4,lichenophagous,,0
94,FNoMi,2017-08-14 11:59:00.374+02,eats mites,4,,,0
95,FNoMm,2017-08-14 11:59:00.374+02,eats ants.,4,myrmecophagous,,0
96,FNoMs,2017-08-14 11:59:00.374+02,feeds on mosses,4,muscophagous,,0
97,FNoMu,2017-08-14 11:59:00.374+02,eats mollusca.,4,molluscophagous   ,,0
98,FNoMy,2017-08-14 11:59:00.374+02,on fungi.,4,mycetophagous,,0
99,FNoNe,2017-08-14 11:59:00.374+02,on dead animals.,4,necrophagous,,0
100,FNoOo,2017-08-14 11:59:00.374+02,eats eggs.,4,oophagous,,0
